Identifiant	Longitude	Latitude	Numéro National de Structure	Domaines	Adresse	Code postal	Ville	Site web
"Laboratoire ""Atmospheres, Milieux, Observations Spatiales"""	2.047	48.777	200918434C	Sciences de la terre et de l'univers, espace	11 boulevard d'Alembert, 78280 Guyancourt	78280	GUYANCOURT	http://www.latmos.ipsl.fr
Laboratoire de Recherche sur les Sciences de la Matiere	2.174	48.732	200722609Z	Sciences de la terre et de l'univers, espace	CEA Paris-Saclay, Centre de Saclay, 92265 Fontenay-aux-Roses Cedex	92260	FONTENAY-AUX-ROSES	
Laboratoire de Physique Theorique et Modelisation	2.086	49.043	200212748C	Physique	2 avenue A. Chauvin, Pontoise, 95302 Cergy	95300	CERGY	http://www.u-cergy.fr/lptm/
Laboratoire des Solides Irradies	2.232	48.718	199719342S	Physique	28 route de Saclay, 91128 Palaiseau	91120	PALAISEAU	http://www.lsi.polytechnique.fr
Departement de Physique Nucleaire	2.148	48.730	201722507V	Physique	CEA Centre de Saclay, 91191 Gif-sur-Yvette	91190	GIF SUR YVETTE	
Institut Pierre-Simon Laplace	2.047	48.777	200610636P	Sciences de la terre et de l'univers, espace	11 boulevard d'Alembert, 78280 Guyancourt	78280	GUYANCOURT	http://www.ipsl.jussieu.fr/
Departement d'Electronique, des Detecteurs et d'Informatique pour la Physique	2.148	48.730	201722513B	Physique, Sciences et technologies de l'information et de la communication	CEA Centre de Saclay, 91191 Gif-sur-Yvette	91190	GIF SUR YVETTE	
HANDICAP NEUROMUSCULAIRE : PHYSIOPATHOLOGIE, BIOTECHNOLOGIES ET PHARMACOLOGIES APPLIQUEES	2.040	48.784	201521271K	Biologie, medecine et sante	2 Avenue de la source de la bievre, 78180 Montigny-le-bretonneux	78180	MONTIGNY LE BRETONNEUX	
Infection et Inflammation	2.040	48.784	201521272L	Biologie, medecine et sante	2 avenue de la Source de la Bièvre, 78180 Montigny-Le-Bretonneux	78180	MONTIGNY LE BRETONNEUX	
Laboratoire de physique de la matiere condensee	2.232	48.718	199719341R	Physique	Route de Saclay, 91128 Palaiseau	91120	PALAISEAU	http://pmc.polytechnique.fr/
Laboratoire Analyse et Modelisation pour la Biologie et l'Environnement	2.426	48.625	201019014D	Physique, Chimie, Biologie, medecine et sante	Universite d'Evry Val d'Essonne, Bd Francois Mitterrand 91025 Évry	91000	EVRY	http://www.lambe.univ-evry.fr/
Unite de recherche SOLEIL	2.145	48.709	200119741H	Physique, Sciences de la terre et de l'univers, espace, Chimie, Biologie, medecine et sante, Sciences pour l'ingenieur	Synchrotron Soleil, D 306, 91190 Saint-Aubin, France	91190	GIF SUR YVETTE	http://www.synchrotron-soleil.fr/
Centre d'Enseignement et de Recherche en Environnement Atmospherique	2.587	48.840	200320606P		6 et 8 Avenue Blaise Pascal, Cité Descartes, 77420 Champs-sur-Marne	77420	CHAMPS-SUR-MARNE	http://cerea.enpc.fr/fr/
SAMOVAR (Services repartis, Architectures, MOdelisation, Validation, Administration des Reseaux)	2.444	48.625	200319330C	Sciences et technologies de l'information et de la communication	9 rue Charles Fourier, 91011 Evry	91000	EVRY	http://samovar.telecom-sudparis.eu/
Laboratoire d'Informatique pour la Mecanique et les Sciences de l'Ingenieur	2.176	48.707	197217542U	Sciences et technologies de l'information et de la communication	Bât 508 Rue John Von Neumann, 91405 Orsay	91400	ORSAY	http://www.limsi.fr/
Mecanismes Adaptatifs et Evolution	2.497	48.695	200612558D	Sciences de la terre et de l'univers, espace, Biologie, medecine et sante, Sciences agronomiques et ecologiques	1 et 4 Avenue du petit Château, 91800 Brunoy	91800	BRUNOY	http://www.mecadev.cnrs.fr
Laboratoire d'Informatique Gaspard-Monge	2.553	48.870	200212717U	Sciences et technologies de l'information et de la communication	5 Bd Descartes, 77454 Champs-sur-marne	77450	CHAMPS SUR MARNE	http://igm.univ-mlv.fr/LIGM/
Groupe d'etudes de la matiere condensee	2.150	48.810	199812960A	Chimie, Sciences et technologies de l'information et de la communication	45 avenue des Etats-Unis, 78035 Versailles	78000	VERSAILLES	http://www.gemac.uvsq.fr
Galaxies, Etoiles, Physique, Instrumentation	2.231	48.810	200212768Z	Physique, Sciences et technologies de l'information et de la communication	5 Place Jules Janssen, 92195 Meudon	92190	MEUDON	
Institut de Chimie Moleculaire et des Materiaux d'Orsay	2.179	48.699	200612829Y	Chimie	15 rue Georges Clemenceau, 91405 Orsay	91400	ORSAY	http://www.icmmo.u-psud.fr
Laboratoire Charles Fabry	2.204	48.714	199812837S		2 avenue Augustin Fresnel, 91127 Palaiseau	91120	PALAISEAU	http://www.lcf.institutoptique.fr
Laboratoire Navier	2.590	48.835	200718421X	Sciences pour l'ingenieur	2 Allee Kepler, 77420 Champs-sur-marne	77420	CHAMPS-SUR-MARNE	http://navier.enpc.fr
Institut de Chimie des Substances Naturelles	2.132	48.705	200617587V	Biologie, medecine et sante	Av de la terrasse, 91198 Gif-sur-yvette	91190	GIF SUR YVETTE	http://www.icsn.cnrs-gif.fr/
Institut de Recherche sur les lois Fondamentales de l'Univers	2.148	48.730	199118599K	Physique, Sciences de la terre et de l'univers, espace	CEA Centre de Saclay, 91191 Gif-sur-Yvette	91190	GIF SUR YVETTE	http://irfu.cea.fr/
LABORATOIRE D'INGENIERIE DES SYSTEMES DE VERSAILLES	2.150	48.810	200615295D	Sciences pour l'ingenieur	45 Av des Etats-Unis, 78035 Versailles	78000	VERSAILLES	
Interactions cellulaires et physiopathologie hepatique	2.192	48.697	200616427J	Biologie, medecine et sante	Universite de Paris Sud 11 Bat 443, 91405 Orsay	91400	ORSAY	
EQUIPE DE RECHERCHE SUR LES RELATIONS MATRICE EXTRACELLULAIRE-CELLULES - EA 1391	2.086	49.043	199213435T	Biologie, medecine et sante	2 avenue A. Chauvin BP 222, 95302 Pontoise	95300	CERGY	http://errmece.u-cergy.fr/?page_id=666
LABORATOIRE DE CHIMIE BIOLOGIQUE - EA 4505	2.074	49.017	201019108F	Chimie, Biologie, medecine et sante	Université de Cergy-Pontoise site de Neuville-sur-Oise, 5 Mail Gay Lussac, 95000 Neuville-sur-Oise, France	95000	CERGY	http://www.u-cergy.fr/fr/laboratoires/lcb.html
Genetique Animale et Biologie Integrative	2.171	48.763	200917790C	Sciences agronomiques et ecologiques	Domaine de Vilvert, 78352 Jouy-en-josas	78350	JOUY-EN-JOSAS	www.jouy.inra.fr/gabi
Maison des sciences de l'homme Paris-Saclay	2.326	48.789	201521827P	Sciences humaines et humanites, Sciences de la societe	61 avenue du President Wilson, 94235 Cachan	94230	CACHAN	
Hemostase, Inflammation, Thrombose	2.359	48.813	201521293J	Biologie, medecine et sante	80 rue du Général Leclerc Bâtiment Grégory Pincus, 94276 Le kremlin-bicêtre	94270	LE KREMLIN-BICETRE	http://www.umrs1176.u-psud.fr/
Institut de Biologie Integrative de la Cellule	2.132	48.705	201521299R	Biologie, medecine et sante	Av de la terrasse, 91198 Gif-sur-yvette	91190	GIF SUR YVETTE	
LABORATOIRE DE MECANIQUE ET MATERIAUX DU GENIE CIVIL - EA 4114	2.076	49.016	200615358X	Sciences pour l'ingenieur	UCP5 mail Gay Lussac 95000 Neuville sur Oise	95000	NEUVILLE SUR OISE	http://www.u-cergy.fr/fr/laboratoires/labo-l2mgc.html
Informatique, BioInformatique, Systemes Complexes	2.438	48.628	201019077X	Biologie, medecine et sante, Sciences pour l'ingenieur, Sciences et technologies de l'information et de la communication	23 Bd de France, 91034 Évry	91000	EVRY	https://www.ibisc.fr/
Unite Chimie et Procedes	2.219	48.710	200920618B	Chimie, Sciences pour l'ingenieur	828 Boulevard des Marechaux, 91762 Palaiseau	91760	PALAISEAU	http://ucp.ensta-paris.fr/index.php
